name,suburb,rating,review_count,price_level,cuisine,website,seifa_score,region,population,weekend_status,target_audience,price_score
LuMi Dining,Pyrmont,4.5,1157,$$$$,bar,http://www.lumidining.com/,1128,CBD,12658,Weekend friendly,General locals,4
Moche Peruvian Fusion Cuisine,Pyrmont,4.7,336,unknown,,https://mocherestaurant.com/,1128,CBD,12658,Weekend friendly,General locals,
The Little Snail Restaurant,Pyrmont,4.5,3364,$$,,http://www.thelittlesnail.com.au/,1128,CBD,12658,Weekend friendly,Tourist friendly,2
Zebra Lounge Waterfront Restaurant Pyrmont,Pyrmont,4.3,668,$$,"bar, cafe, night_club",http://www.zebralounge.com.au/,1128,CBD,12658,Weekend friendly,General locals,2
Sokyo,Pyrmont,4.4,3053,$$$$,bar,https://www.sokyodining.com.au/,1128,CBD,12658,Weekend friendly,Tourist friendly,4
Sala,Pyrmont,4.6,396,unknown,,https://www.saladining.com.au/,1128,CBD,12658,Weekend friendly,General locals,
Gallon,Pyrmont,4.5,1170,$$,bar,https://www.gallon.com.au/,1128,CBD,12658,Weekend friendly,General locals,2
Pasta Rosa,Pyrmont,4.4,200,unknown,"bar, store",https://pastarosa.com.au/,1128,CBD,12658,Weekend friendly,General locals,
Flying Fish,Pyrmont,4.3,1332,$,bar,https://flyingfish.com.au/,1128,CBD,12658,Weekdays only,Budget / community,1
Ferrara Pasta Bar,Pyrmont,4.5,340,unknown,bar,https://www.ferrarapastabar.com.au/,1128,CBD,12658,Weekend friendly,General locals,
two sis & co,Pyrmont,4.2,1141,unknown,"cafe, store",https://www.facebook.com/twosispyrmont/,1128,CBD,12658,Weekend friendly,General locals,
BLACK Bar & Grill,Pyrmont,4.4,1666,$$,bar,https://www.star.com.au/sydney/eat-and-drink/signature-dining/black-bar-and-grill,1128,CBD,12658,Weekend friendly,General locals,2
Quick Brown Fox Eatery,Pyrmont,4.3,1190,$$,"cafe, store",http://www.quickbrownfoxeatery.com.au/,1128,CBD,12658,Weekend friendly,General locals,2
The Boatshed Pyrmont,Pyrmont,4.0,654,unknown,,http://www.theboatshedpyrmont.com.au/,1128,CBD,12658,Weekend friendly,General locals,
Hurricane's Grill & Rotisserie Pyrmont,Pyrmont,4.3,405,unknown,,https://hurricanesgrillrestaurants.com.au/pyrmont/,1128,CBD,12658,Weekend friendly,General locals,
KKO KKO Balinese,Pyrmont,4.9,747,$$,,https://kkokko.com.au/,1128,CBD,12658,Weekdays only,General locals,2
Laneway Hotel & Sports Bar,Pyrmont,4.5,395,$$,bar,http://www.thelanewaypyrmont.com.au/,1128,CBD,12658,Weekend friendly,General locals,2
Kafe Kooks - The House Of Roti,Ultimo,4.7,794,unknown,"cafe, meal_takeaway, store",https://kafekooks.com.au/,1074,CBD,7410,Weekend friendly,General locals,
Merchants of Ultimo,Ultimo,4.0,1230,$$,"bakery, store",http://merchantsofultimo.com.au/,1074,CBD,7410,Weekend friendly,General locals,2
159 Home Kitchen,Ultimo,4.5,626,$,,,1074,CBD,7410,Weekend friendly,Budget / community,1
The Black Groodle,Ultimo,4.7,325,$$,"cafe, store",,1074,CBD,7410,Weekdays only,General locals,2
